Company Name,Industry,Symbol,Series,ISIN Code
Reliance Industries Ltd.,Energy,RELIANCE,EQ,NA
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,NA
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,NA
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,NA
Infosys Ltd.,Information Technology,INFY,EQ,NA
State Bank of India,Financial Services,SBIN,EQ,NA
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,NA
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,NA
Larsen & Toubro Ltd.,Construction,LT,EQ,NA
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,NA
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,NA
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,NA
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,NA
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,NA
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,NA
Titan Company Ltd.,Consumer Durables,TITAN,EQ,NA
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,NA
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,NA
NTPC Ltd.,Power,NTPC,EQ,NA
Wipro Ltd.,Information Technology,WIPRO,EQ,NA
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,NA
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,NA
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,NA
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,NA
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,NA
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,NA
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,NA
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,NA
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,NA
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,NA
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,NA
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,NA
